=================================================
=== Barrier Analysis (filtering for 'kind = barrier*') ===
=================================================

--- Analysis for: copyprivate ---
[1][callback_sync_region_wait] kind = barrier | endpoint = begin | parallel_data->value = 666000001 (0x25cd60) | task_data->value = 555000003 (0x7ff8c8000b80) | codeptr_ra = 0x201e64
[1][callback_sync_region_wait] kind = barrier | endpoint = end | parallel_data->value = 666000001 (0x25cd60) | task_data->value = 555000003 (0x7ff8c8000b80) | codeptr_ra = 0x201e64
[1][callback_sync_region] kind = barrier | endpoint = end | parallel_data->value = 666000001 (0x25cd60) | task_data->value = 555000003 (0x7ff8c8000b80) | codeptr_ra = 0x201e64
[1][callback_sync_region] kind = barrier | endpoint = begin | parallel_data->value = 666000001 (0x25cd60) | task_data->value = 555000003 (0x7ff8c8000b80) | codeptr_ra = (nil)
[1][callback_sync_region_wait] kind = barrier | endpoint = begin | parallel_data->value = 666000001 (0x25cd60) | task_data->value = 555000003 (0x7ff8c8000b80) | codeptr_ra = (nil)
[0][callback_sync_region_wait] kind = barrier | endpoint = end | parallel_data->value = 666000001 (0x25cd60) | task_data->value = 555000002 (0x27d370) | codeptr_ra = 0x201e64
[0][callback_sync_region] kind = barrier | endpoint = end | parallel_data->value = 666000001 (0x25cd60) | task_data->value = 555000002 (0x27d370) | codeptr_ra = 0x201e64
[0][callback_sync_region] kind = barrier | endpoint = begin | parallel_data->value = 666000001 (0x25cd60) | task_data->value = 555000002 (0x27d370) | codeptr_ra = (nil)
[0][callback_sync_region_wait] kind = barrier | endpoint = begin | parallel_data->value = 666000001 (0x25cd60) | task_data->value = 555000002 (0x27d370) | codeptr_ra = (nil)
[1][callback_sync_region_wait] kind = barrier | endpoint = end | parallel_data->value = 666000001 (0x25cd60) | task_data->value = 555000003 (0x7ff8c8000b80) | codeptr_ra = (nil)
[1][callback_sync_region] kind = barrier | endpoint = end | parallel_data->value = 666000001 (0x25cd60) | task_data->value = 555000003 (0x7ff8c8000b80) | codeptr_ra = (nil)
[0][callback_sync_region_wait] kind = barrier | endpoint = end | parallel_data->value = 666000001 (0x25cd60) | task_data->value = 555000002 (0x27d370) | codeptr_ra = (nil)
[0][callback_sync_region] kind = barrier | endpoint = end | parallel_data->value = 666000001 (0x25cd60) | task_data->value = 555000002 (0x27d370) | codeptr_ra = (nil)

--- Analysis for: taskloop ---
[1][callback_sync_region] kind = barrier | endpoint = begin | parallel_data->value = 666000001 (0x25cd60) | task_data->value = 555000003 (0x7f0124000b80) | codeptr_ra = (nil)
[1][callback_sync_region_wait] kind = barrier | endpoint = begin | parallel_data->value = 666000001 (0x25cd60) | task_data->value = 555000003 (0x7f0124000b80) | codeptr_ra = (nil)
